customer_id,order_number,order_revenue,follow_up_email,discount_amt_in_follow_up_email
1757,1,2.56,Y,2
3397,1,2.76,Y,2
2742,1,2.91,Y,2
3110,1,2.29,Y,2
3970,1,2.78,Y,2
2858,1,2.22,Y,2
2733,1,2.04,Y,2
903,1,2.36,Y,2
2000,1,2.15,Y,2
1065,1,2.98,Y,2
5222,1,2.19,Y,2
3290,1,2.83,Y,2
4388,1,2.56,Y,2
3289,1,2.92,Y,2
956,1,2.5,Y,2
2445,1,2.89,Y,2
1666,1,2.86,Y,2
3580,1,2.75,Y,2
4940,1,2.21,Y,2
2996,1,2.29,Y,2
3706,1,2.26,Y,2
3955,1,2.66,Y,2
841,1,2.14,Y,2
616,1,2.68,Y,2
1383,1,2.69,Y,2
3884,1,2.69,Y,2
4361,1,2.98,Y,2
2605,1,2.68,Y,2
3060,1,2.81,Y,2
4724,1,2.66,Y,2
3100,1,2.55,Y,2
2910,1,2.21,Y,2
2939,1,2.48,Y,2
3640,1,2.99,Y,2
2288,1,2.22,Y,2
282,1,2.39,Y,2
279,1,2.7,Y,2
2412,1,2.06,Y,2
5065,1,2.33,Y,2
4540,1,2.63,Y,2
3607,1,2.08,Y,2
3500,1,2.15,Y,2
926,1,2.44,Y,2
977,1,2.38,Y,2
991,1,2.37,Y,2
539,1,2.57,Y,2
3487,1,2,Y,2
3538,1,2.8,Y,2
5143,1,2.86,Y,2
2470,1,2.09,Y,2
4266,1,2.07,Y,2
1198,1,2.44,Y,2
3193,1,2.45,Y,2
4349,1,2.32,Y,2
1994,1,2.74,Y,2
885,1,2.41,Y,2
1769,1,2.04,Y,2
2075,1,2.88,Y,2
4365,1,2.64,Y,2
1051,1,2.68,Y,2
1273,1,2.5,Y,2
5122,1,2.22,Y,2
2952,1,2.48,Y,2
157,1,2.23,Y,2
4066,1,2.51,Y,2
3636,1,2.9,Y,2
1163,1,2.79,Y,2
4288,1,2.32,Y,2
481,1,2.45,Y,2
5223,1,2.78,Y,2
3604,1,2.84,Y,2
3413,1,2.48,Y,2
1799,1,2.12,Y,2
4362,1,2.12,Y,2
2392,1,2.54,Y,2
2216,1,2.89,Y,2
3062,1,2.93,Y,2
4383,1,2.17,Y,2
5150,1,2.2,Y,2
4285,1,2.16,Y,2
773,1,2.65,Y,2
559,1,2.9,Y,2
356,1,2.15,Y,2
3822,1,2.68,Y,2
4513,1,2.5,Y,2
565,1,2.59,Y,2
4925,1,2.27,Y,2
518,1,2.73,Y,2
401,1,2.7,Y,2
280,1,2.77,Y,2
3228,1,2.65,Y,2
2451,1,2.71,Y,2
4505,1,2.92,Y,2
254,1,2.03,Y,2
2953,1,2.6,Y,2
3396,1,2.76,Y,2
2203,1,2.87,Y,2
2524,1,2.14,Y,2
1121,1,2.45,Y,2
3651,1,2.8,Y,2
3665,1,2.84,Y,2
4522,1,2.63,Y,2
1505,1,2.97,Y,2
4065,1,2.25,Y,2
1525,1,2.45,Y,2
4743,1,2.06,Y,2
4229,1,2.01,Y,2
530,1,2.16,Y,2
503,1,2.58,Y,2
566,1,2.94,Y,2
4443,1,2.77,Y,2
411,1,2.62,Y,2
526,1,2.63,Y,2
1436,1,2.81,Y,2
2094,1,2.5,Y,2
644,1,2.89,Y,2
2398,1,2.96,Y,2
2978,1,2.84,Y,2
4708,1,2.92,Y,2
599,1,2.42,Y,2
818,1,2.74,Y,2
3515,1,2.33,Y,2
23,1,2.6,Y,2
4538,1,2.21,Y,2
4334,1,2.74,Y,2
2660,1,2.87,Y,2
84,1,2.76,Y,2
5166,1,2.54,Y,2
438,1,2.84,Y,2
4374,1,2.53,Y,2
2904,1,2.19,Y,2
3746,1,2.17,Y,2
344,1,2.41,Y,2
1063,1,2.67,Y,2
78,1,2.15,Y,2
2892,1,2.36,Y,2
1228,1,2.87,Y,2
3146,1,2.81,Y,2
5025,1,2.16,Y,2
4465,1,2.06,Y,2
2942,1,2.62,Y,2
1529,1,2,Y,2
2654,1,2.95,Y,2
3252,1,2.12,Y,2
5280,1,2.23,Y,2
823,1,2.32,Y,2
4342,1,2.5,Y,2
5144,1,2.12,Y,2
2105,1,2.57,Y,2
1527,1,2.45,Y,2
4395,1,2.45,Y,2
3328,1,2.89,Y,2
238,1,2.95,Y,2
2913,1,2.55,Y,2
3493,1,2.42,Y,2
4476,1,2.86,Y,2
2169,1,2.75,Y,2
1232,1,2.33,Y,2
2478,1,2.41,Y,2
2207,1,2.04,Y,2
2119,1,2.84,Y,2
2405,1,2.87,Y,2
2072,1,2.47,Y,2
3948,1,2.02,Y,2
1495,1,2.94,Y,2
1435,1,2.59,Y,2
414,1,2.2,Y,2
4241,1,2.8,Y,2
808,1,2.98,Y,2
866,1,2.95,Y,2
3294,1,2.13,Y,2
1817,1,2.12,Y,2
3842,1,2.51,Y,2
4954,1,2.13,Y,2
96,1,2.32,Y,2
4633,1,2.43,Y,2
3109,1,2.81,Y,2
4254,1,2.48,Y,2
2138,1,2.11,Y,2
2345,1,2.25,Y,2
5123,1,2.99,Y,2
4798,1,2.5,Y,2
416,1,2.68,Y,2
2571,1,2.29,Y,2
2901,1,2.93,Y,2
3969,1,2,Y,2
194,1,2.62,Y,2
2647,1,3,Y,2
3895,1,2.64,Y,2
3075,1,2.9,Y,2
4873,1,2.28,Y,2
1626,1,2.39,Y,2
4632,1,2.16,Y,2
853,1,2.92,Y,2
237,1,2.43,Y,2
3529,1,2.46,Y,2
2239,1,2.93,Y,2
744,1,2.83,Y,2
3761,1,2.07,Y,2
4566,1,2.39,Y,2
3032,1,2.05,Y,2
1098,1,2.23,Y,2
4488,1,2.88,Y,2
1852,1,2.29,Y,2
2764,1,2.38,Y,2
3443,1,2.92,Y,2
1819,1,2.98,Y,2
3718,1,2.24,Y,2
445,1,2.08,Y,2
1501,1,2.83,Y,2
3710,1,2.75,Y,2
2034,1,2.35,Y,2
673,1,2.59,Y,2
4033,1,2.37,Y,2
1790,1,2.9,Y,2
1910,1,2.65,Y,2
1707,1,2.84,Y,2
2745,1,2.15,Y,2
3095,1,2.74,Y,2
3617,1,2.94,Y,2
2469,1,2.54,Y,2
3363,1,2.6,Y,2
799,1,2.63,Y,2
2133,1,2.88,Y,2
3874,1,2.23,Y,2
1115,1,2.79,Y,2
1245,1,2.94,Y,2
3091,1,2.63,Y,2
1393,1,2.77,Y,2
1090,1,2.31,Y,2
2327,1,2.01,Y,2
1044,1,2.54,Y,2
4763,1,2.29,Y,2
4411,1,2.39,Y,2
1672,1,2.61,Y,2
392,1,2.35,Y,2
296,1,2.79,Y,2
3558,1,2.46,Y,2
2277,1,2.53,Y,2
765,1,2.4,Y,2
85,1,2.61,Y,2
4043,1,2.73,Y,2
561,1,2.19,Y,2
198,1,2.19,Y,2
2343,1,2.41,Y,2
3966,1,2.06,Y,2
1187,1,2.24,Y,2
3686,1,2.28,Y,2
3009,1,2.99,Y,2
532,1,2.83,Y,2
1778,1,2.12,Y,2
5182,1,2.44,Y,2
497,1,2.53,Y,2
81,1,2.49,Y,2
3195,1,2.8,Y,2
1711,1,2.12,Y,2
4726,1,2.31,Y,2
3488,1,2.7,Y,2
2411,1,2.54,Y,2
4405,1,2.86,Y,2
1991,1,2.14,Y,2
880,1,2.86,Y,2
1975,1,2.9,Y,2
4779,1,2.31,Y,2
2508,1,2.9,Y,2
5270,1,2.56,Y,2
3773,1,2.24,Y,2
1426,1,2.18,Y,2
4307,1,2.76,Y,2
4555,1,2.82,Y,2
3497,1,2.14,Y,2
556,1,2.09,Y,2
4535,1,2.03,Y,2
4485,1,2.32,Y,2
3820,1,2.6,Y,2
2787,1,2.5,Y,2
1302,1,2.74,Y,2
4351,1,2.18,Y,2
4280,1,2.46,Y,2
1846,1,2.33,Y,2
2692,1,2.36,Y,2
5301,1,2.33,Y,2
2765,1,2.58,Y,2
655,1,2.64,Y,2
3347,1,2.49,Y,2
723,1,2.47,Y,2
959,1,2.13,Y,2
811,1,2.61,Y,2
2011,1,2.65,Y,2
2751,1,2.38,Y,2
1363,1,2.05,Y,2
3790,1,2.62,Y,2
968,1,2.66,Y,2
2231,1,2.88,Y,2
2721,1,2.34,Y,2
1850,1,2.5,Y,2
2440,1,2.89,Y,2
166,1,2.48,Y,2
4509,1,2.82,Y,2
2180,1,2.76,Y,2
5195,1,2.93,Y,2
3796,1,2.24,Y,2
1070,1,2.13,Y,2
4751,1,2.82,Y,2
4019,1,2.19,Y,2
1828,1,2.39,Y,2
4900,1,2.82,Y,2
154,1,2.58,Y,2
1030,1,2.84,Y,2
1916,1,2.3,Y,2
3422,1,2.3,Y,2
751,1,2.18,Y,2
2700,1,2.42,Y,2
4675,1,2.18,Y,2
4457,1,2.55,Y,2
3242,1,2.02,Y,2
2425,1,2.74,Y,2
88,1,2.05,Y,2
382,1,2.55,Y,2
291,1,2.49,Y,2
688,1,2.22,Y,2
2657,1,2.1,Y,2
2676,1,2.3,Y,2
5019,1,2.32,Y,2
4150,1,2,Y,2
5263,1,2.54,Y,2
549,1,2.37,Y,2
728,1,2.55,Y,2
22,1,2.69,Y,2
878,1,2.92,Y,2
1531,1,2.83,Y,2
983,1,2.82,Y,2
2603,1,2.13,Y,2
170,1,3,Y,2
5302,1,2.58,Y,2
5049,1,2.85,Y,2
4469,1,2.11,Y,2
2355,1,2.23,Y,2
1934,1,2.89,Y,2
4490,1,2.05,Y,2
941,1,2.86,Y,2
3036,1,2.39,Y,2
4786,1,2.03,Y,2
1931,1,2.67,Y,2
2688,1,2.68,Y,2
2045,1,2.23,Y,2
1071,1,2.58,Y,2
75,1,2.49,Y,2
319,1,2.52,Y,2
4093,1,2.94,Y,2
1859,1,2.03,Y,2
1216,1,2.7,Y,2
1171,1,2.63,Y,2
3512,1,2.63,Y,2
1589,1,2.45,Y,2
3676,1,2.3,Y,2
335,1,2.03,Y,2
912,1,2.45,Y,2
2184,1,2.11,Y,2
4317,1,2.66,Y,2
346,1,2.37,Y,2
965,1,2.47,Y,2
2805,1,2.63,Y,2
834,1,2.09,Y,2
1551,1,2.82,Y,2
4442,1,2.74,Y,2
3403,1,2.72,Y,2
667,1,2.25,Y,2
3830,1,2.04,Y,2
159,1,2.63,Y,2
67,1,2.04,Y,2
2177,1,2.61,Y,2
2410,1,2.24,Y,2
2174,1,2.66,Y,2
2076,1,2.1,Y,2
1048,1,2.61,Y,2
2198,1,2.47,Y,2
5092,1,2.59,Y,2
4194,1,2.12,Y,2
5017,1,2.37,Y,2
223,1,2.03,Y,2
1218,1,2.99,Y,2
1977,1,2.27,Y,2
472,1,2.24,Y,2
4551,1,2.91,Y,2
3150,1,2.81,Y,2
2509,1,2.29,Y,2
4562,1,2.26,Y,2
182,1,2.92,Y,2
4403,1,2.15,Y,2
3787,1,2.8,Y,2
1612,1,2.85,Y,2
264,1,2.64,Y,2
3321,1,2.41,Y,2
4073,1,2.84,Y,2
4652,1,2.49,Y,2
1128,1,2.67,Y,2
615,1,2.79,Y,2
614,1,2.2,Y,2
343,1,2,Y,2
1327,1,2.81,Y,2
4370,1,2.42,Y,2
384,1,2.08,Y,2
792,1,2.76,Y,2
1295,1,2.11,Y,2
1704,1,2.21,Y,2
4231,1,2.54,Y,2
1467,1,2.22,Y,2
3835,1,2.5,Y,2
1591,1,2.84,Y,2
2683,1,2.85,Y,2
4087,1,2.52,Y,2
4149,1,2.04,Y,2
4205,1,2.13,Y,2
2856,1,2.81,Y,2
4927,1,2.43,Y,2
1119,1,2.74,Y,2
5056,1,2.27,Y,2
974,1,2.02,Y,2
4725,1,2.77,Y,2
4378,1,2.96,Y,2
1180,1,2.9,Y,2
1475,1,2.63,Y,2
1818,1,2.76,Y,2
4948,1,2.92,Y,2
1016,1,2.29,Y,2
1087,1,2.92,Y,2
2150,1,2.77,Y,2
4422,1,2.73,Y,2
4906,1,2.25,Y,2
2123,1,2.23,Y,2
1059,1,2.06,Y,2
3817,1,2.99,Y,2
749,1,2.42,Y,2
2442,1,2.77,Y,2
3717,1,2.08,Y,2
1125,1,2.57,Y,2
4524,1,2.91,Y,2
2982,1,2.92,Y,2
3622,1,2.27,Y,2
2134,1,2.66,Y,2
2580,1,2.66,Y,2
2796,1,2.35,Y,2
1193,1,2.78,Y,2
3381,1,2.32,Y,2
711,1,2.21,Y,2
4620,1,2.18,Y,2
2979,1,2.19,Y,2
3134,1,2.38,Y,2
929,1,2.94,Y,2
1431,1,2.27,Y,2
2576,1,2.17,Y,2
4752,1,2.32,Y,2
70,1,2.16,Y,2
2894,1,2.8,Y,2
310,1,2.58,Y,2
2592,1,2.16,Y,2
2995,1,2.4,Y,2
5015,1,2.5,Y,2
479,1,2.92,Y,2
3170,1,3,Y,2
2202,1,2.85,Y,2
1685,1,2.51,Y,2
742,1,2.72,Y,2
1695,1,2.25,Y,2
2891,1,2.49,Y,2
695,1,2.7,Y,2
1941,1,2.17,Y,2
1433,1,2.98,Y,2
215,1,2.87,Y,2
222,1,2.7,Y,2
3741,1,2.7,Y,2
1061,1,2.82,Y,2
1830,1,2.51,Y,2
2361,1,2.24,Y,2
696,1,2.31,Y,2
4668,1,2.67,Y,2
4028,1,2.82,Y,2
4978,1,2.66,Y,2
3740,1,2.83,Y,2
2817,1,2.7,Y,2
890,1,2.46,Y,2
4039,1,2.09,Y,2
230,1,2.91,Y,2
3446,1,2.15,Y,2
2861,1,2.62,Y,2
2187,1,2.39,Y,2
25,1,2.54,Y,2
4397,1,2.97,Y,2
2144,1,2.35,Y,2
689,1,2.85,Y,2
5229,1,2.69,Y,2
2675,1,2.39,Y,2
3925,1,2.81,Y,2
588,1,2.71,Y,2
3061,1,2.52,Y,2
4655,1,2.02,Y,2
3647,1,2.79,Y,2
1848,1,2.97,Y,2
4924,1,2.79,Y,2
1283,1,2.15,Y,2
4084,1,2.25,Y,2
1033,1,2.34,Y,2
3206,1,2.73,Y,2
2335,1,2.11,Y,2
2255,1,2.52,Y,2
4946,1,2.43,Y,2
3685,1,2.63,Y,2
3690,1,2.47,Y,2
3585,1,2.97,Y,2
4516,1,2.04,Y,2
3391,1,2.12,Y,2
4114,1,2.13,Y,2
680,1,2.49,Y,2
2503,1,2.17,Y,2
2513,1,2.97,Y,2
4143,1,2.77,Y,2
2070,1,2.26,Y,2
1580,1,2.61,Y,2
3305,1,2.33,Y,2
2854,1,2.93,Y,2
4117,1,2.13,Y,2
3663,1,2.72,Y,2
3527,1,2.1,Y,2
3300,1,2.96,Y,2
5095,1,2.46,Y,2
1689,1,2.12,Y,2
795,1,2.94,Y,2
2129,1,2.98,Y,2
1924,1,2.83,Y,2
2718,1,2.31,Y,2
989,1,2.17,Y,2
1843,1,2.25,Y,2
2206,1,2.96,Y,2
2157,1,2.46,Y,2
4455,1,2.39,Y,2
1083,1,2.47,Y,2
1986,1,2.1,Y,2
1607,1,2.63,Y,2
905,1,2.83,Y,2
1674,1,2.76,Y,2
1802,1,2.08,Y,2
3274,1,2.43,Y,2
3346,1,2.47,Y,2
3963,1,2.75,Y,2
1882,1,2.18,Y,2
2266,1,2.34,Y,2
3285,1,2.84,Y,2
861,1,2.11,Y,2
4398,1,2.84,Y,2
2240,1,2.17,Y,2
18,1,2.32,Y,2
2453,1,2.46,Y,2
2491,1,2.54,Y,2
3079,1,2.85,Y,2
3692,1,3,Y,2
1637,1,2.63,Y,2
1980,1,2.9,Y,2
1277,1,2.12,Y,2
3506,1,2.36,Y,2
406,1,2.45,Y,2
403,1,2.36,Y,2
3275,1,2.79,Y,2
5078,1,2.99,Y,2
3064,1,2.71,Y,2
1372,1,2.48,Y,2
3593,1,2.6,Y,2
4653,1,2.14,Y,2
3941,1,2.68,Y,2
1700,1,2.71,Y,2
567,1,2.65,Y,2
5120,1,2.14,Y,2
1131,1,2.79,Y,2
2782,1,2.53,Y,2
5027,1,2.82,Y,2
5274,1,2.07,Y,2
1347,1,2.92,Y,2
4474,1,2.18,Y,2
1183,1,2.05,Y,2
4890,1,2.64,Y,2
135,1,2.22,Y,2
3192,1,2.25,Y,2
886,1,2.62,Y,2
3131,1,2.53,Y,2
646,1,2.43,Y,2
3379,1,2.85,Y,2
2567,1,2.58,Y,2
3756,1,2.78,Y,2
2085,1,2.26,Y,2
2249,1,2.27,Y,2
1928,1,2.36,Y,2
1213,1,2.89,Y,2
4309,1,2.8,Y,2
1324,1,2.31,Y,2
2849,1,2.23,Y,2
1550,1,2.18,Y,2
4011,1,2.17,Y,2
5009,1,2.36,Y,2
3866,1,2.06,Y,2
2080,1,2.49,Y,2
3122,1,2.79,Y,2
4396,1,2.43,Y,2
4350,1,2.35,Y,2
90,1,2.72,Y,2
2620,1,2.15,Y,2
976,1,2.88,Y,2
389,1,2.49,Y,2
715,1,2.93,Y,2
4712,1,2.06,Y,2
3863,1,2.95,Y,2
1272,1,2.13,Y,2
3841,1,2.4,Y,2
3927,1,2.63,Y,2
374,1,2.1,Y,2
4153,1,2.06,Y,2
2600,1,2.77,Y,2
2584,1,2.63,Y,2
4981,1,2.3,Y,2
4222,1,2.98,Y,2
560,1,2.9,Y,2
7,1,2.4,Y,2
1102,1,2.06,Y,2
2052,1,2.87,Y,2
3117,1,2.67,Y,2
2162,1,2.91,Y,2
2272,1,2.53,Y,2
1693,1,2.1,Y,2
1092,1,2.49,Y,2
1405,1,2.82,Y,2
3784,1,2.64,Y,2
907,1,2.12,Y,2
1294,1,2.09,Y,2
3507,1,2.04,Y,2
3915,1,2.64,Y,2
3553,1,2.98,Y,2
4527,1,2.09,Y,2
2168,1,2.51,Y,2
933,1,2.14,Y,2
4460,1,2.91,Y,2
3864,1,2.59,Y,2
5227,1,2.27,Y,2
4748,1,2.92,Y,2
2030,1,2.96,Y,2
423,1,2.4,Y,2
2492,1,2.07,Y,2
1420,1,2.06,Y,2
3184,1,2.18,Y,2
3802,1,2.36,Y,2
4167,1,2.12,Y,2
1222,1,2.17,Y,2
1823,1,2.99,Y,2
3000,1,2.96,Y,2
2461,1,2.86,Y,2
704,1,2.77,Y,2
2724,1,2.05,Y,2
1599,1,2.23,Y,2
3522,1,2.3,Y,2
3590,1,2.43,Y,2
4556,1,2.05,Y,2
3196,1,2.29,Y,2
3438,1,2.43,Y,2
1578,1,2.43,Y,2
3433,1,2.48,Y,2
3360,1,2.29,Y,2
5203,1,2.14,Y,2
2234,1,2.83,Y,2
2383,1,2.74,Y,2
122,1,2.19,Y,2
966,1,2.61,Y,2
4882,1,2.95,Y,2
5026,1,2.25,Y,2
4687,1,2.67,Y,2
1287,1,2.05,Y,2
5007,1,2.33,Y,2
3785,1,2.56,Y,2
3412,1,2.78,Y,2
683,1,2.43,Y,2
2344,1,2.4,Y,2
697,1,2.72,Y,2
992,1,2.21,Y,2
1329,1,2.63,Y,2
721,1,2.83,Y,2
2253,1,2.61,Y,2
2770,1,2.82,Y,2
3025,1,2.11,Y,2
2417,1,2.02,Y,2
2090,1,2.19,Y,2
3078,1,2.29,Y,2
5149,1,2.14,Y,2
2865,1,2.79,Y,2
586,1,2.37,Y,2
5244,1,2.86,Y,2
1738,1,2.11,Y,2
1650,1,2.45,Y,2
1832,1,2.59,Y,2
3077,1,2.83,Y,2
4387,1,2.27,Y,2
3618,1,2.05,Y,2
3249,1,2.87,Y,2
3952,1,2.93,Y,2
3260,1,2.7,Y,2
5131,1,2.25,Y,2
859,1,2.84,Y,2
1343,1,2.53,Y,2
311,1,2.55,Y,2
214,1,2.46,Y,2
2974,1,2.24,Y,2
1498,1,2.22,Y,2
1516,1,2.07,Y,2
794,1,2.61,Y,2
1866,1,2.32,Y,2
4423,1,2.46,Y,2
5258,1,2.5,Y,2
3268,1,2.91,Y,2
1752,1,2.65,Y,2
2794,1,2.9,Y,2
3354,1,2.41,Y,2
2959,1,2.32,Y,2
1276,1,2.96,Y,2
5119,1,2.07,Y,2
1732,1,2.8,Y,2
1547,1,2.57,Y,2
3845,1,2.73,Y,2
177,1,2.13,Y,2
969,1,2.19,Y,2
2042,1,2.7,Y,2
3116,1,2.87,Y,2
4329,1,2.54,Y,2
562,1,2.73,Y,2
4915,1,2.77,Y,2
676,1,2.39,Y,2
1583,1,2.02,Y,2
2671,1,2.3,Y,2
2627,1,2.41,Y,2
5145,1,2.48,Y,2
1658,1,2.77,Y,2
4130,1,2.81,Y,2
3711,1,2.9,Y,2
2960,1,2.83,Y,2
464,1,2.12,Y,2
1569,1,2.74,Y,2
345,1,2.77,Y,2
754,1,2.74,Y,2
788,1,2.11,Y,2
1652,1,2.17,Y,2
4148,1,2.14,Y,2
702,1,2.09,Y,2
2140,1,2.95,Y,2
387,1,2.78,Y,2
4115,1,2.08,Y,2
3282,1,2.7,Y,2
181,1,2.1,Y,2
4764,1,2.18,Y,2
2510,1,2,Y,2
2287,1,2.02,Y,2
4893,1,2.89,Y,2
2785,1,2.24,Y,2
1593,1,2,Y,2
1636,1,2.2,Y,2
1046,1,2.35,Y,2
184,1,2.35,Y,2
2228,1,2.08,Y,2
3964,1,2.09,Y,2
3324,1,2.38,Y,2
3262,1,3,Y,2
1782,1,2.25,Y,2
3625,1,2.55,Y,2
4495,1,2.12,Y,2
41,1,2.3,Y,2
3474,1,2.44,Y,2
4470,1,2.9,Y,2
4945,1,2.34,Y,2
515,1,2.84,Y,2
684,1,2.42,Y,2
3705,1,2.14,Y,2
2012,1,2.61,Y,2
2390,1,2.93,Y,2
4745,1,2.45,Y,2
2698,1,2.47,Y,2
150,1,2.59,Y,2
845,1,2.92,Y,2
2990,1,2.63,Y,2
3827,1,2.15,Y,2
5248,1,2.47,Y,2
2879,1,2.96,Y,2
3792,1,2.79,Y,2
4614,1,2.04,Y,2
4180,1,2.69,Y,2
3691,1,2.4,Y,2
4733,1,2.04,Y,2
3101,1,2.83,Y,2
2386,1,2.49,Y,2
3704,1,2.18,Y,2
2465,1,2.64,Y,2
4959,1,2.51,Y,2
888,1,2.56,Y,2
3916,1,2.73,Y,2
2488,1,2.74,Y,2
3368,1,2.18,Y,2
4694,1,2.11,Y,2
1968,1,2.35,Y,2
1785,1,2.43,Y,2
460,1,2.39,Y,2
3431,1,2.78,Y,2
1387,1,2.41,Y,2
212,1,2.85,Y,2
840,1,2.61,Y,2
82,1,2.09,Y,2
349,1,2.66,Y,2
63,1,2.51,Y,2
3457,1,2.92,Y,2
2040,1,2.37,Y,2
4565,1,2.19,Y,2
3229,1,2.51,Y,2
3103,1,2.06,Y,2
5204,1,2.93,Y,2
1142,1,2.67,Y,2
366,1,2.28,Y,2
270,1,2.79,Y,2
17,1,2.37,Y,2
1671,1,2.16,Y,2
4880,1,2.22,Y,0
1045,1,2.54,Y,0
4140,1,2.23,Y,0
2276,1,2.22,Y,0
936,1,2.31,Y,0
3726,1,2.33,Y,0
1481,1,2.18,Y,0
5164,1,2.5,Y,0
3330,1,2.08,Y,0
813,1,2.79,Y,0
3588,1,2.25,Y,0
1914,1,2.74,Y,0
4917,1,2.87,Y,0
3040,1,2.98,Y,0
2114,1,2.32,Y,0
2919,1,2.59,Y,0
2063,1,2.46,Y,0
4926,1,2.25,Y,0
3612,1,2.54,Y,0
4497,1,2.15,Y,0
3748,1,2.99,Y,0
3946,1,2.02,Y,0
334,1,2.56,Y,0
2695,1,2.84,Y,0
3495,1,2.37,Y,0
2994,1,2.32,Y,0
3876,1,2.16,Y,0
2520,1,2.88,Y,0
4676,1,2.23,Y,0
713,1,2.97,Y,0
4082,1,2.78,Y,0
2367,1,2.83,Y,0
2748,1,2.4,Y,0
995,1,2.09,Y,0
3335,1,2.38,Y,0
329,1,2.68,Y,0
1724,1,2.69,Y,0
4064,1,2.23,Y,0
1780,1,2.82,Y,0
5168,1,2.89,Y,0
3531,1,2.75,Y,0
5037,1,2.86,Y,0
3377,1,2.52,Y,0
4425,1,2.75,Y,0
4976,1,2.48,Y,0
3502,1,2.94,Y,0
2194,1,2.51,Y,0
1210,1,2.83,Y,0
1721,1,2.97,Y,0
3234,1,2.37,Y,0
4085,1,2.57,Y,0
1715,1,2.39,Y,0
1371,1,2.89,Y,0
4773,1,2.17,Y,0
1786,1,2.42,Y,0
3965,1,2.43,Y,0
2712,1,2.03,Y,0
3189,1,2.35,Y,0
20,1,2.09,Y,0
1256,1,2.08,Y,0
2775,1,2.83,Y,0
11,1,2.9,Y,0
2882,1,2.07,Y,0
2548,1,2.61,Y,0
3913,1,2.94,Y,0
248,1,2.74,Y,0
213,1,2.19,Y,0
165,1,2.38,Y,0
3818,1,2.59,Y,0
4472,1,2.3,Y,0
2885,1,2.23,Y,0
4960,1,2.49,Y,0
